timestamp,pid,cpu_percent,interval_seconds,state,rss_kb
2026-09-05T06:49:42.922+00:00,2423,98.3,0.050865,S,1988
2026-09-05T06:49:42.973+00:00,2423,0.0,0.050909,S,1988
2026-09-05T06:49:43.025+00:00,2423,0.0,0.051604,S,1988
2026-09-05T06:49:43.076+00:00,2423,0.0,0.051322,S,1988
2026-09-05T06:49:43.128+00:00,2423,0.0,0.051616,S,1988
2026-09-05T06:49:43.178+00:00,2423,0.0,0.050619,S,1988
2026-09-05T06:49:43.229+00:00,2423,0.0,0.050460,S,1988
2026-09-05T06:49:43.280+00:00,2423,0.0,0.051591,S,1988
2026-09-05T06:49:43.332+00:00,2423,0.0,0.051827,S,1988
2026-09-05T06:49:43.384+00:00,2423,0.0,0.051745,S,1988
2026-09-05T06:49:43.436+00:00,2423,0.0,0.051804,S,1988
2026-09-05T06:49:43.487+00:00,2423,0.0,0.050778,S,1988
2026-09-05T06:49:43.538+00:00,2423,0.0,0.051098,S,1988
2026-09-05T06:49:43.588+00:00,2423,0.0,0.050587,S,1988
2026-09-05T06:49:43.640+00:00,2423,0.0,0.051717,S,1988
2026-09-05T06:49:43.692+00:00,2423,0.0,0.051795,S,1988
2026-09-05T06:49:43.743+00:00,2423,0.0,0.051519,S,1988
2026-09-05T06:49:43.795+00:00,2423,0.0,0.051436,S,1988
2026-09-05T06:49:43.846+00:00,2423,0.0,0.051084,S,1988
2026-09-05T06:49:43.897+00:00,2423,0.0,0.051490,S,1988
2026-09-05T06:49:43.949+00:00,2423,0.0,0.051702,S,1988
2026-09-05T06:49:44.001+00:00,2423,0.0,0.051820,S,1988
2026-09-05T06:49:44.052+00:00,2423,0.0,0.050808,S,1988
2026-09-05T06:49:44.103+00:00,2423,0.0,0.051115,S,1988
2026-09-05T06:49:44.153+00:00,2423,0.0,0.050728,S,1988
2026-09-05T06:49:44.204+00:00,2423,0.0,0.050787,S,1988
2026-09-05T06:49:44.256+00:00,2423,0.0,0.051338,S,1988
2026-09-05T06:49:44.307+00:00,2423,0.0,0.051720,S,1988
2026-09-05T06:49:44.359+00:00,2423,0.0,0.051798,S,1988
2026-09-05T06:49:44.410+00:00,2423,0.0,0.050793,S,1988
2026-09-05T06:49:44.461+00:00,2423,0.0,0.051585,S,1988
2026-09-05T06:49:44.512+00:00,2423,0.0,0.050781,S,1988
2026-09-05T06:49:44.563+00:00,2423,0.0,0.050728,S,1988
2026-09-05T06:49:44.615+00:00,2423,0.0,0.051751,S,1988
2026-09-05T06:49:44.666+00:00,2423,0.0,0.051726,S,1988
2026-09-05T06:49:44.718+00:00,2423,0.0,0.051783,S,1988
2026-09-05T06:49:44.770+00:00,2423,0.0,0.051358,S,1988
2026-09-05T06:49:44.820+00:00,2423,0.0,0.050726,S,1988
2026-09-05T06:49:44.871+00:00,2423,0.0,0.050703,S,1988
2026-09-05T06:49:44.923+00:00,2423,0.0,0.051681,S,1988
