timestamp,pid,cpu_percent,interval_seconds,state,rss_kb
2026-09-05T06:49:12.330+00:00,1069,97.5,0.051268,S,1900
2026-09-05T06:49:12.382+00:00,1069,0.0,0.051682,S,1900
2026-09-05T06:49:12.434+00:00,1069,0.0,0.051753,S,1900
2026-09-05T06:49:12.484+00:00,1069,0.0,0.050568,S,1900
2026-09-05T06:49:12.535+00:00,1069,0.0,0.050656,S,1900
2026-09-05T06:49:12.586+00:00,1069,0.0,0.050824,S,1900
2026-09-05T06:49:12.636+00:00,1069,0.0,0.050455,S,1900
2026-09-05T06:49:12.687+00:00,1069,0.0,0.050744,S,1900
2026-09-05T06:49:12.739+00:00,1069,0.0,0.051775,S,1900
2026-09-05T06:49:12.790+00:00,1069,0.0,0.051697,S,1900
2026-09-05T06:49:12.842+00:00,1069,0.0,0.051477,S,1900
2026-09-05T06:49:12.894+00:00,1069,0.0,0.051759,S,1900
2026-09-05T06:49:12.944+00:00,1069,0.0,0.050722,S,1900
2026-09-05T06:49:12.995+00:00,1069,0.0,0.050571,S,1900
2026-09-05T06:49:13.047+00:00,1069,0.0,0.051775,S,1900
2026-09-05T06:49:13.098+00:00,1069,0.0,0.051730,S,1900
2026-09-05T06:49:13.150+00:00,1069,0.0,0.051783,S,1900
2026-09-05T06:49:13.201+00:00,1069,0.0,0.050784,S,1900
2026-09-05T06:49:13.253+00:00,1069,0.0,0.051686,S,1900
2026-09-05T06:49:13.303+00:00,1069,0.0,0.050651,S,1900
2026-09-05T06:49:13.355+00:00,1069,0.0,0.051763,S,1900
2026-09-05T06:49:13.407+00:00,1069,0.0,0.051731,S,1900
2026-09-05T06:49:13.458+00:00,1069,0.0,0.050709,S,1900
2026-09-05T06:49:13.509+00:00,1069,0.0,0.051713,S,1900
2026-09-05T06:49:13.561+00:00,1069,0.0,0.051255,S,1900
2026-09-05T06:49:13.611+00:00,1069,0.0,0.050717,S,1900
2026-09-05T06:49:13.662+00:00,1069,0.0,0.050540,S,1900
2026-09-05T06:49:13.713+00:00,1069,0.0,0.051419,S,1900
2026-09-05T06:49:13.764+00:00,1069,0.0,0.050678,S,1900
2026-09-05T06:49:13.816+00:00,1069,0.0,0.051779,S,1900
2026-09-05T06:49:13.867+00:00,1069,0.0,0.051161,S,1900
2026-09-05T06:49:13.918+00:00,1069,0.0,0.050686,S,1900
2026-09-05T06:49:13.969+00:00,1069,0.0,0.051693,S,1900
2026-09-05T06:49:14.020+00:00,1069,0.0,0.050625,S,1900
2026-09-05T06:49:14.071+00:00,1069,0.0,0.050784,S,1900
2026-09-05T06:49:14.122+00:00,1069,0.0,0.051722,S,1900
2026-09-05T06:49:14.174+00:00,1069,0.0,0.051658,S,1900
2026-09-05T06:49:14.226+00:00,1069,0.0,0.051793,S,1900
2026-09-05T06:49:14.277+00:00,1069,0.0,0.051641,S,1900
2026-09-05T06:49:14.328+00:00,1069,0.0,0.050772,S,1900
2026-09-05T06:49:14.379+00:00,1069,0.0,0.050719,S,1900
2026-09-05T06:49:14.430+00:00,1069,0.0,0.051516,S,1900
2026-09-05T06:49:14.482+00:00,1069,0.0,0.051798,S,1900
2026-09-05T06:49:14.534+00:00,1069,0.0,0.051759,S,1900
2026-09-05T06:49:14.585+00:00,1069,0.0,0.051174,S,1900
2026-09-05T06:49:14.637+00:00,1069,0.0,0.051419,S,1900
2026-09-05T06:49:14.688+00:00,1069,0.0,0.051318,S,1900
2026-09-05T06:49:14.739+00:00,1069,0.0,0.050798,S,1900
2026-09-05T06:49:14.790+00:00,1069,0.0,0.051694,S,1900
2026-09-05T06:49:14.842+00:00,1069,0.0,0.051749,S,1900
2026-09-05T06:49:14.894+00:00,1069,0.0,0.051758,S,1900
2026-09-05T06:49:14.945+00:00,1069,0.0,0.051099,S,1900
2026-09-05T06:49:14.997+00:00,1069,0.0,0.051674,S,1900
2026-09-05T06:49:15.048+00:00,1069,0.0,0.051707,S,1900
2026-09-05T06:49:15.099+00:00,1069,0.0,0.050892,S,1900
2026-09-05T06:49:15.151+00:00,1069,0.0,0.051424,S,1900
2026-09-05T06:49:15.202+00:00,1069,0.0,0.050900,S,1900
2026-09-05T06:49:15.253+00:00,1069,0.0,0.050981,S,1900
2026-09-05T06:49:15.303+00:00,1069,0.0,0.050853,S,1900
2026-09-05T06:49:15.355+00:00,1069,0.0,0.051302,S,1900
2026-09-05T06:49:15.406+00:00,1069,0.0,0.051670,S,1900
2026-09-05T06:49:15.458+00:00,1069,0.0,0.051781,S,1900
2026-09-05T06:49:15.510+00:00,1069,0.0,0.051714,S,1900
2026-09-05T06:49:15.561+00:00,1069,0.0,0.051342,S,1900
2026-09-05T06:49:15.612+00:00,1069,0.0,0.051029,S,1900
2026-09-05T06:49:15.664+00:00,1069,0.0,0.051584,S,1900
2026-09-05T06:49:15.716+00:00,1069,0.0,0.051650,S,1900
2026-09-05T06:49:15.767+00:00,1069,0.0,0.051342,S,1900
2026-09-05T06:49:15.818+00:00,1069,0.0,0.050750,S,1900
2026-09-05T06:49:15.868+00:00,1069,0.0,0.050684,S,1900
2026-09-05T06:49:15.919+00:00,1069,0.0,0.051004,S,1900
2026-09-05T06:49:15.970+00:00,1069,0.0,0.050924,S,1900
2026-09-05T06:49:16.021+00:00,1069,0.0,0.050970,S,1900
2026-09-05T06:49:16.072+00:00,1069,0.0,0.051084,S,1900
2026-09-05T06:49:16.124+00:00,1069,0.0,0.051301,S,1900
2026-09-05T06:49:16.175+00:00,1069,0.0,0.050988,S,1900
2026-09-05T06:49:16.226+00:00,1069,0.0,0.051426,S,1900
2026-09-05T06:49:16.278+00:00,1069,0.0,0.051740,S,1900
2026-09-05T06:49:16.329+00:00,1069,0.0,0.050912,S,1900
2026-09-05T06:49:16.379+00:00,1069,0.0,0.050783,S,1900
2026-09-05T06:49:16.430+00:00,1069,0.0,0.050693,S,1900
2026-09-05T06:49:16.482+00:00,1069,0.0,0.051600,S,1900
2026-09-05T06:49:16.533+00:00,1069,0.0,0.051710,S,1900
2026-09-05T06:49:16.585+00:00,1069,0.0,0.051555,S,1900
2026-09-05T06:49:16.637+00:00,1069,0.0,0.051569,S,1900
2026-09-05T06:49:16.687+00:00,1069,0.0,0.050578,S,1900
2026-09-05T06:49:16.738+00:00,1069,0.0,0.050575,S,1900
2026-09-05T06:49:16.789+00:00,1069,0.0,0.051642,S,1900
2026-09-05T06:49:16.840+00:00,1069,0.0,0.051052,S,1900
2026-09-05T06:49:16.891+00:00,1069,0.0,0.051069,S,1900
